L-BAT+1:1
L-BAT+2:1
L-D0:1
L-D1:1
L-D10:1
L-D11:1
L-D12:1
L-D13:1
L-D14:1
L-D15:1
L-D16:1
L-D17:1
L-D18:1
L-D19:1
L-D2:1
L-D20:1
L-D3:1
L-D4:1
L-D5:1
L-D6:1
L-D7:1
L-D8:1
L-D9:1
L-GND1:1
L-PSW1:1
L-S0:1
L-S1:1
L-S10:1
L-S11:1
L-S12:1
L-S13:1
L-S14:1
L-S15:1
L-S16:1
L-S17:1
L-S18:1
L-S19:1
L-S2:1
L-S20:1
L-S3:1
L-S4:1
L-S5:1
L-S6:1
L-S7:1
L-S8:1
L-S9:1
MBITES1:1
MBITES2:1
MBITES3:1
MBITES4:1
MBITES5:1
MBITES6:1
MBITES7:1
MBITES8:1
R-BAT+1:1
R-BAT+2:1
R-D0:1
R-D03:1
R-D1:1
R-D10:1
R-D11:1
R-D12:1
R-D13:1
R-D14:1
R-D15:1
R-D16:1
R-D17:1
R-D18:1
R-D19:1
R-D2:1
R-D20:1
R-D4:1
R-D5:1
R-D6:1
R-D7:1
R-D8:1
R-D9:1
R-GND1:1
R-PSW1:1
R-S0:1
R-S1:1
R-S10:1
R-S11:1
R-S12:1
R-S13:1
R-S14:1
R-S15:1
R-S16:1
R-S17:1
R-S18:1
R-S19:1
R-S2:1
R-S20:1
R-S3:1
R-S4:1
R-S5:1
R-S6:1
R-S7:1
R-S8:1
R-S9:1
REF**:6
U1:1
U2:1
