signal,component1,pin1,x1,y1,layer1,component2,pin2,x2,y2,layer2
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S20,1,6.907824434439497,-7.105352373074398,TOP
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S5,1,6.0461350000000005,-4.53954,TOP
L-COL5,L-S17,1,6.0461350000000005,-6.07498,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-COL5,L-S20,1,6.907824434439497,-7.105352373074398,TOP,L-S5,1,6.0461350000000005,-4.53954,TOP
L-COL5,L-S20,1,6.907824434439497,-7.105352373074398,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-COL5,L-S5,1,6.0461350000000005,-4.53954,TOP,L-S11,1,6.0461350000000005,-5.307259999999999,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D19,1,6.4588106,-6.89457,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D20,1,6.558039172781935,-7.000547923290308,TOP
L-ROW3,U1,8,4.072784,-6.92278,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW3,L-D19,1,6.4588106,-6.89457,TOP,L-D20,1,6.558039172781935,-7.000547923290308,TOP
L-ROW3,L-D19,1,6.4588106,-6.89457,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW3,L-D20,1,6.558039172781935,-7.000547923290308,TOP,L-D18,1,5.5631394,-6.89063,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D12,1,2.761637923290307,-6.409149172781935,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D17,1,6.3308594,-6.68197,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D14,1,4.278590231690945,-6.17374473903626,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D15,1,5.01983,-6.1307906,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D16,1,5.5611694,-6.68591,TOP
L-ROW2,U1,9,4.072784,-7.02278,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW2,L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-D17,1,6.3308594,-6.68197,TOP
L-ROW2,L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-D14,1,4.278590231690945,-6.17374473903626,TOP
L-ROW2,L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-D15,1,5.01983,-6.1307906,TOP
L-ROW2,L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-D16,1,5.5611694,-6.68591,TOP
L-ROW2,L-D12,1,2.761637923290307,-6.409149172781935,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW2,L-D17,1,6.3308594,-6.68197,TOP,L-D14,1,4.278590231690945,-6.17374473903626,TOP
L-ROW2,L-D17,1,6.3308594,-6.68197,TOP,L-D15,1,5.01983,-6.1307906,TOP
L-ROW2,L-D17,1,6.3308594,-6.68197,TOP,L-D16,1,5.5611694,-6.68591,TOP
L-ROW2,L-D17,1,6.3308594,-6.68197,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW2,L-D14,1,4.278590231690945,-6.17374473903626,TOP,L-D15,1,5.01983,-6.1307906,TOP
L-ROW2,L-D14,1,4.278590231690945,-6.17374473903626,TOP,L-D16,1,5.5611694,-6.68591,TOP
L-ROW2,L-D14,1,4.278590231690945,-6.17374473903626,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW2,L-D15,1,5.01983,-6.1307906,TOP,L-D16,1,5.5611694,-6.68591,TOP
L-ROW2,L-D15,1,5.01983,-6.1307906,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW2,L-D16,1,5.5611694,-6.68591,TOP,L-D13,1,3.5195179232903073,-6.310729172781935,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D11,1,6.3308594,-5.92804,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D6,1,2.7170020767096927,-6.198890827218065,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D8,1,4.217570231690945,-5.40799473903626,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D7,1,3.4866920767096925,-6.070940827218065,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D9,1,5.01983,-5.3985106,TOP
L-ROW1,U1,10,4.072784,-7.1227800000000006,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW1,L-D11,1,6.3308594,-5.92804,TOP,L-D6,1,2.7170020767096927,-6.198890827218065,TOP
L-ROW1,L-D11,1,6.3308594,-5.92804,TOP,L-D8,1,4.217570231690945,-5.40799473903626,TOP
L-ROW1,L-D11,1,6.3308594,-5.92804,TOP,L-D7,1,3.4866920767096925,-6.070940827218065,TOP
L-ROW1,L-D11,1,6.3308594,-5.92804,TOP,L-D9,1,5.01983,-5.3985106,TOP
L-ROW1,L-D11,1,6.3308594,-5.92804,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW1,L-D6,1,2.7170020767096927,-6.198890827218065,TOP,L-D8,1,4.217570231690945,-5.40799473903626,TOP
L-ROW1,L-D6,1,2.7170020767096927,-6.198890827218065,TOP,L-D7,1,3.4866920767096925,-6.070940827218065,TOP
L-ROW1,L-D6,1,2.7170020767096927,-6.198890827218065,TOP,L-D9,1,5.01983,-5.3985106,TOP
L-ROW1,L-D6,1,2.7170020767096927,-6.198890827218065,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW1,L-D8,1,4.217570231690945,-5.40799473903626,TOP,L-D7,1,3.4866920767096925,-6.070940827218065,TOP
L-ROW1,L-D8,1,4.217570231690945,-5.40799473903626,TOP,L-D9,1,5.01983,-5.3985106,TOP
L-ROW1,L-D8,1,4.217570231690945,-5.40799473903626,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW1,L-D7,1,3.4866920767096925,-6.070940827218065,TOP,L-D9,1,5.01983,-5.3985106,TOP
L-ROW1,L-D7,1,3.4866920767096925,-6.070940827218065,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW1,L-D9,1,5.01983,-5.3985106,TOP,L-D10,1,5.79739,-5.9496906,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D4,1,5.80723,-5.1918106,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D1,1,3.3689020767096927,-5.306360827218065,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D3,1,5.00605,-4.6563806,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D2,1,4.162450231690945,-4.7268947390362595,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D0,1,2.6087320767096926,-5.458730827218065,TOP
L-ROW0,U1,11,4.072784,-7.22278,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-ROW0,L-D4,1,5.80723,-5.1918106,TOP,L-D1,1,3.3689020767096927,-5.306360827218065,TOP
L-ROW0,L-D4,1,5.80723,-5.1918106,TOP,L-D3,1,5.00605,-4.6563806,TOP
L-ROW0,L-D4,1,5.80723,-5.1918106,TOP,L-D2,1,4.162450231690945,-4.7268947390362595,TOP
L-ROW0,L-D4,1,5.80723,-5.1918106,TOP,L-D0,1,2.6087320767096926,-5.458730827218065,TOP
L-ROW0,L-D4,1,5.80723,-5.1918106,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-ROW0,L-D1,1,3.3689020767096927,-5.306360827218065,TOP,L-D3,1,5.00605,-4.6563806,TOP
L-ROW0,L-D1,1,3.3689020767096927,-5.306360827218065,TOP,L-D2,1,4.162450231690945,-4.7268947390362595,TOP
L-ROW0,L-D1,1,3.3689020767096927,-5.306360827218065,TOP,L-D0,1,2.6087320767096926,-5.458730827218065,TOP
L-ROW0,L-D1,1,3.3689020767096927,-5.306360827218065,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-ROW0,L-D3,1,5.00605,-4.6563806,TOP,L-D2,1,4.162450231690945,-4.7268947390362595,TOP
L-ROW0,L-D3,1,5.00605,-4.6563806,TOP,L-D0,1,2.6087320767096926,-5.458730827218065,TOP
L-ROW0,L-D3,1,5.00605,-4.6563806,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-ROW0,L-D2,1,4.162450231690945,-4.7268947390362595,TOP,L-D0,1,2.6087320767096926,-5.458730827218065,TOP
L-ROW0,L-D2,1,4.162450231690945,-4.7268947390362595,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-ROW0,L-D0,1,2.6087320767096926,-5.458730827218065,TOP,L-D5,1,6.3308594,-5.15835,TOP
L-BAT+,U1,15,4.567075,-7.2351225,TOP,L-PSW1,2,3.462745,-7.489056,TOP
Net-(L-D12-A),L-S12,2,2.7580624178499917,-6.702325730129071,TOP,L-D12,2,2.7819620767096924,-6.537470827218065,TOP
Net-(L-D1-A),L-S1,2,3.2761324178499915,-5.06570573012907,TOP,L-D1,2,3.3485779232903075,-5.1780391727819355,TOP
Net-(L-D19-A),L-S19,2,6.518576,-7.145843999999999,TOP,L-D19,2,6.3288893999999996,-6.89457,TOP
Net-(L-D15-A),L-S15,2,4.965707606217798,-5.633865011410631,TOP,L-D15,2,5.01983,-6.0008694,TOP
Net-(L-D17-A),L-S17,2,6.518576,-6.161594,TOP,L-D17,2,6.4607806,-6.68197,TOP
Net-(L-D0-A),L-S0,2,2.5178624178499915,-5.18580573012907,TOP,L-D0,2,2.5884079232903074,-5.330409172781935,TOP
Net-(L-D8-A),L-S8,2,4.120094688921791,-5.130693525202867,TOP,L-D8,2,4.203989768309055,-5.2787852609637405,TOP
Net-(L-D2-A),L-S2,2,4.03984468892179,-4.367183525202867,TOP,L-D2,2,4.148869768309055,-4.59768526096374,TOP
Net-(L-D3-A),L-S3,2,4.885347606217797,-4.100535011410631,TOP,L-D3,2,5.00605,-4.5264594,TOP
Net-(L-D20-A),L-S20,2,7.360899487003609,-7.264806066104777,TOP,L-D20,2,6.686360827218065,-7.020872076709693,TOP
Net-(L-D5-A),L-S5,2,6.518576,-4.626154,TOP,L-D5,2,6.4607806,-5.15835,TOP
Net-(L-D13-A),L-S13,2,3.5163224178499917,-6.582235730129071,TOP,L-D13,2,3.5398420767096925,-6.439050827218065,TOP
Net-(L-D18-A),L-S18,2,5.750856000000001,-7.145843999999999,TOP,L-D18,2,5.6930606,-6.89063,TOP
Net-(L-D11-A),L-S11,2,6.518576,-5.393873999999999,TOP,L-D11,2,6.4607806,-5.92804,TOP
