component,pin_name,x,y,layer,signal
L-S19,none,5.98708,-7.498206,TOP,unconnected
L-S19,none,6.18393,-7.063167,TOP,unconnected
L-S19,none,6.18393,-7.29545,TOP,unconnected
L-S19,none,6.380780000000001,-7.145843999999999,TOP,unconnected
L-S19,none,6.4004650000000005,-7.29545,TOP,unconnected
L-S19,1,6.0461350000000005,-7.0592299999999994,TOP,L-COL4
L-S19,2,6.518576,-7.145843999999999,TOP,Net-(L-D19-A)
L-S15,none,4.423111753691918,-5.812112566285065,TOP,unconnected
L-S15,none,4.453381205227557,-6.013560462935121,TOP,unconnected
L-S15,none,4.62719324707602,-5.568815335778603,TOP,unconnected
L-S15,none,4.63935,-5.80078,TOP,unconnected
L-S15,none,4.828100450846756,-5.641076696837083,TOP,unconnected
L-S15,none,4.855588246308082,-5.789447433714934,TOP,unconnected
L-S15,1,4.489381043674785,-5.572095364390771,TOP,L-COL3
L-S15,2,4.965707606217798,-5.633865011410631,TOP,Net-(L-D15-A)
L-S17,none,5.967395,-6.3112,TOP,unconnected
L-S17,none,5.98708,-6.513956,TOP,unconnected
L-S17,none,6.18393,-6.078917000000001,TOP,unconnected
L-S17,none,6.18393,-6.3112,TOP,unconnected
L-S17,none,6.380780000000001,-6.161594,TOP,unconnected
L-S17,none,6.4004650000000005,-6.3112,TOP,unconnected
L-S17,1,6.0461350000000005,-6.07498,TOP,L-COL5
L-S17,2,6.518576,-6.161594,TOP,Net-(L-D17-A)
L-PSW1,none,3.492273,-7.561890399999999,TOP,unconnected
L-PSW1,none,3.3741627,-7.5599219,TOP,unconnected
L-PSW1,1,3.3446351,-7.489056,TOP,unconnected-(L-PSW1-A-Pad1)
L-PSW1,2,3.462745,-7.489056,TOP,L-BAT+
L-PSW1,3,3.5218,-7.489056,TOP,L-VBAT
L-PSW1,NC,3.28164299,-7.5638589,TOP,unconnected
L-PSW1,NC,3.594635,-7.5638589,TOP,unconnected
L-S0,none,1.9968709051692317,-5.419793536887486,TOP,unconnected
L-S0,none,2.0480315765475443,-5.6169738616288765,TOP,unconnected
L-S0,none,2.17440293315706,-5.156496789181539,TOP,unconnected
L-S0,none,2.21074,-5.38592,TOP,unconnected
L-S0,none,2.381762915269344,-5.207361773673754,TOP,unconnected
L-S0,none,2.424609094830768,-5.352046463112513,TOP,unconnected
L-S0,1,2.0376885357758896,-5.174164147294835,TOP,L-COL0
L-S0,2,2.5178624178499915,-5.18580573012907,TOP,Net-(L-D0-A)
L-S8,none,3.5875712013864307,-5.337094070793662,TOP,unconnected
L-S8,none,3.628342137995052,-5.5366817094115275,TOP,unconnected
L-S8,none,3.7786398149667995,-5.083449470578172,TOP,unconnected
L-S8,none,3.80292,-5.31446,TOP,unconnected
L-S8,none,3.983053549827624,-5.145097129327297,TOP,unconnected
L-S8,none,4.018268798613569,-5.291825929206339,TOP,unconnected
L-S8,1,3.6411881418346437,-5.0939375374720735,TOP,L-COL2
L-S8,2,4.120094688921791,-5.130693525202867,TOP,Net-(L-D8-A)
L-S2,none,3.5073212013864308,-4.573584070793662,TOP,unconnected
L-S2,none,3.548092137995052,-4.773171709411527,TOP,unconnected
L-S2,none,3.6983898149667995,-4.319939470578172,TOP,unconnected
L-S2,none,3.72267,-4.55095,TOP,unconnected
L-S2,none,3.902803549827624,-4.381587129327297,TOP,unconnected
L-S2,none,3.938018798613569,-4.528315929206339,TOP,unconnected
L-S2,1,3.5609381418346437,-4.330427537472073,TOP,L-COL2
L-S2,2,4.03984468892179,-4.367183525202867,TOP,Net-(L-D2-A)
L-S3,none,4.342751753691918,-4.278782566285066,TOP,unconnected
L-S3,none,4.373021205227556,-4.480230462935122,TOP,unconnected
L-S3,none,4.5468332470760195,-4.035485335778604,TOP,unconnected
L-S3,none,4.55899,-4.26745,TOP,unconnected
L-S3,none,4.747740450846756,-4.107746696837084,TOP,unconnected
L-S3,none,4.775228246308082,-4.256117433714935,TOP,unconnected
L-S3,1,4.409021043674785,-4.0387653643907715,TOP,L-COL3
L-S3,2,4.885347606217797,-4.100535011410631,TOP,Net-(L-D3-A)
L-S20,none,6.793100905169232,-7.326346463112514,TOP,unconnected
L-S20,none,6.78082552376015,-7.529685612742538,TOP,unconnected
L-S20,none,7.04330706684294,-7.13079678918154,TOP,unconnected
L-S20,none,7.00697,-7.36022,TOP,unconnected
L-S20,none,7.224799984422962,-7.243250022560093,TOP,unconnected
L-S20,none,7.220839094830768,-7.394093536887486,TOP,unconnected
L-S20,1,6.907824434439497,-7.105352373074398,TOP,L-COL5
L-S20,2,7.360899487003609,-7.264806066104777,TOP,Net-(L-D20-A)
L-S5,none,5.967395,-4.77576,TOP,unconnected
L-S5,none,5.98708,-4.978516,TOP,unconnected
L-S5,none,6.18393,-4.543477,TOP,unconnected
L-S5,none,6.18393,-4.77576,TOP,unconnected
L-S5,none,6.380780000000001,-4.626154,TOP,unconnected
L-S5,none,6.4004650000000005,-4.77576,TOP,unconnected
L-S5,1,6.0461350000000005,-4.53954,TOP,L-COL5
L-S5,2,6.518576,-4.626154,TOP,Net-(L-D5-A)
L-S13,none,2.995330905169232,-6.816223536887486,TOP,unconnected
L-S13,none,3.0464915765475444,-7.013403861628877,TOP,unconnected
L-S13,none,3.17286293315706,-6.55292678918154,TOP,unconnected
L-S13,none,3.2092,-6.78235,TOP,unconnected
L-S13,none,3.380222915269344,-6.603791773673755,TOP,unconnected
L-S13,none,3.423069094830768,-6.748476463112514,TOP,unconnected
L-S13,1,3.0361485357758897,-6.570594147294836,TOP,L-COL1
L-S13,2,3.5163224178499917,-6.582235730129071,TOP,Net-(L-D13-A)
L-S18,none,5.199675,-7.29545,TOP,unconnected
L-S18,none,5.21936,-7.498206,TOP,unconnected
L-S18,none,5.41621,-7.063167,TOP,unconnected
L-S18,none,5.41621,-7.29545,TOP,unconnected
L-S18,none,5.613060000000001,-7.145843999999999,TOP,unconnected
L-S18,none,5.632745000000001,-7.29545,TOP,unconnected
L-S18,1,5.278415000000001,-7.0592299999999994,TOP,L-COL3
L-S18,2,5.750856000000001,-7.145843999999999,TOP,Net-(L-D18-A)
L-S11,none,5.967395,-5.54348,TOP,unconnected
L-S11,none,5.98708,-5.746236,TOP,unconnected
L-S11,none,6.18393,-5.311197,TOP,unconnected
L-S11,none,6.18393,-5.54348,TOP,unconnected
L-S11,none,6.380780000000001,-5.393873999999999,TOP,unconnected
L-S11,none,6.4004650000000005,-5.54348,TOP,unconnected
L-S11,1,6.0461350000000005,-5.307259999999999,TOP,L-COL5
L-S11,2,6.518576,-5.393873999999999,TOP,Net-(L-D11-A)
L-D11,1,6.3308594,-5.92804,TOP,L-ROW1
L-D11,2,6.4607806,-5.92804,TOP,Net-(L-D11-A)
L-D6,1,2.7170020767096927,-6.198890827218065,TOP,L-ROW1
L-D6,2,2.6966779232903075,-6.070569172781935,TOP,Net-(L-D6-A)
L-D8,1,4.217570231690945,-5.40799473903626,TOP,L-ROW1
L-D8,2,4.203989768309055,-5.2787852609637405,TOP,Net-(L-D8-A)
L-D7,1,3.4866920767096925,-6.070940827218065,TOP,L-ROW1
L-D7,2,3.4663679232903073,-5.942619172781935,TOP,Net-(L-D7-A)
